stream_content,name,time_parameter,stream_type,binsize_minutes,id,description
Tide Measurement Data Products,presf_tide_measurement,7,Science,1440,15,Science Tide Measurement Data Products
Status Data,presf_operating_status,7,Engineering,1440,16,Engineering Status Data
Calibration Data,presf_calibration_coefficients,7,Engineering,20160,17,Engineering Calibration Data
Data Products,ctdbp_no_sample,7,Science,1440,23,Science Data Products
Hardware Data,ctdbp_no_hardware,7,Engineering,20160,24,Engineering Hardware Data
Calibration Data,ctdbp_no_calibration_coefficients,7,Engineering,20160,25,Engineering Calibration Data
Status Data,ctdbp_no_status,7,Engineering,20160,26,Engineering Status Data
Configuration Data,ctdbp_no_configuration,7,Engineering,20160,27,Engineering Configuration Data
Data Products,parad_sa_sample,7,Science,720,28,Science Data Products
Data Products,prest_real_time,7,Science,20160,31,Science Data Products
Reference Oscillator Data,prest_reference_oscillator,7,Engineering,10080,32,Engineering Reference Oscillator Data
Configuration Data,prest_configuration_data,7,Engineering,20160,33,Engineering Configuration Data
Device Status,prest_device_status,7,Engineering,20160,34,Engineering Device Status
Event Counter Data,prest_event_counter,7,Engineering,20160,35,Engineering Event Counter Data
Hardware Data,prest_hardware_data,7,Engineering,20160,36,Engineering Hardware Data
,phsen_control_record,7,,20160,41,
Dev1 Data,pco2w_b_dev1_data_record,7,Engineering,20160,43,Engineering Dev1 Data
Status Data,pco2w_a_regular_status,7,Engineering,20160,44,Engineering Status Data
Configuration Data,pco2w_a_configuration,7,Engineering,20160,45,Engineering Configuration Data
Data Products,trhph_sample,7,Science,10080,47,Science Data Products
Hardware Configuration,vel3d_cd_hardware_configuration,7,Engineering,20160,56,Engineering Hardware Configuration
Header Configuration,vel3d_cd_head_configuration,7,Engineering,20160,57,Engineering Header Configuration
User Configuration,vel3d_cd_user_configuration,7,Engineering,20160,58,Engineering User Configuration
Data Products,optaa_sample,7,Science,720,61,Science Data Products
Status Data,optaa_status,7,Engineering,20160,62,Engineering Status Data
Data Products,tmpsf_sample,7,Science,10080,64,Science Data Products
Data,tmpsf_engineering,7,Engineering,20160,65,Engineering Data
Data Products,vel3d_b_sample,7,Science,1440,67,Science Data Products
Data,vel3d_b_engineering,7,Engineering,20160,68,Engineering Data
Data Products,adcp_pd0_earth_parsed,7,Science,1440,70,
,adcp_pd12_parsed,7,,1440,71,
,adcp_waves_parsed,7,,1440,72,
Compass Data,adcp_compass_calibration,7,Calibration,20160,73,Calibration Compass Data
System Configuration Data,adcp_system_configuration,7,Engineering,20160,74,Engineering System Configuration Data
Data Header,vel3d_cd_data_header,7,Engineering,20160,75,Engineering Data Header
Data Products,vel3d_cd_velocity_data,7,Science,360,76,Science Data Products
System Data,vel3d_cd_system_data,7,Engineering,1440,77,Engineering System Data
Clock Data,vel3d_clock_data,7,Engineering,20160,78,Engineering Clock Data
Battery Voltage,vel3d_cd_battery_voltage,7,Engineering,20160,79,Engineering Battery Voltage
Identification String,vel3d_cd_identification_string,7,Engineering,20160,80,Engineering Identification String
Wave Burst Data Products,presf_wave_burst,7,Science,1440,84,Science Wave Burst Data Products
Wave Statistics Data Products,presf_wave_statistics,7,Science,1440,85,Science Wave Statistics Data Products
NANO Sensor Data Products,botpt_nano_sample,7,Science,180,87,Science NANO Sensor Data Products
LILY Sensor Data Products,botpt_lily_sample,7,Science,1440,88,Science LILY Sensor Data Products
